Year,Month,Jurisdiction,Covid_Deaths,Total_Deaths,Pneumonia_Deaths,Influenza_Deaths,Pneumonia_Influenza_Deaths,Pneumonia_Influenza_Covid,Local_Trips,Interstate_Trips,Long_Distance_Trips
2021,9,Wyoming,388.0,1391.0,266.0,0.0,266.0,460.0,65306076.0,6325544.0,1124001.0
2021,10,California,6557.0,60758.0,8190.0,28.0,8222.0,10703.0,3727016365.0,280186134.0,40080246.0
2021,10,Florida,5554.0,47334.0,6665.0,30.0,6695.0,8590.0,2255994819.0,115039236.0,21307438.0
2021,10,Georgia,3200.0,20916.0,2825.0,8.0,2839.0,4224.0,1119996733.0,85184838.0,14190449.0
2021,10,New York,3093.0,34526.0,3766.0,8.0,3777.0,5571.0,2854256528.0,132604385.0,18019684.0
2021,10,North Carolina,3476.0,23018.0,3560.0,4.0,3566.0,4985.0,1251512719.0,74749723.0,13663541.0
2021,10,Wyoming,552.0,2036.0,384.0,0.0,384.0,604.0,70226332.0,6130961.0,1218360.0
2021,11,California,5157.0,48166.0,6672.0,35.0,6706.0,8640.0,3578754930.0,264276119.0,38761572.0
2021,11,Florida,1440.0,35962.0,3257.0,30.0,3296.0,3961.0,2213372475.0,110322803.0,21083567.0
2021,11,Georgia,1158.0,16012.0,1388.0,8.0,1403.0,2134.0,1115064141.0,82304474.0,13852164.0
2021,11,New York,2825.0,29580.0,3695.0,8.0,3712.0,5501.0,2823206929.0,127893363.0,17301498.0
2021,11,North Carolina,1180.0,17938.0,1918.0,8.0,1926.0,2476.0,1272345491.0,73378950.0,13445785.0
2021,11,Wyoming,299.0,1434.0,234.0,0.0,236.0,337.0,70431777.0,5922096.0,1173089.0
2021,12,California,5003.0,52140.0,6672.0,49.0,6709.0,8984.0,3634838645.0,260158296.0,39063194.0
2021,12,Florida,1850.0,36608.0,3675.0,60.0,3732.0,4564.0,2197145497.0,110825388.0,21943132.0
2021,12,Georgia,1336.0,16646.0,1603.0,10.0,1627.0,2374.0,1154658556.0,82341297.0,14530694.0
2021,12,New York,5091.0,31120.0,4311.0,60.0,4352.0,7377.0,2771764252.0,129738885.0,17850549.0
2021,12,North Carolina,1862.0,18796.0,2271.0,14.0,2284.0,3027.0,1305342171.0,75604817.0,13460881.0
2021,12,Wyoming,187.0,1252.0,170.0,0.0,172.0,227.0,74601423.0,6121981.0,1225746.0
2022,1,California,17310.0,78766.0,14342.0,112.0,14719.0,21957.0,3572819980.0,251767087.0,37164024.0
2022,1,Florida,10955.0,56550.0,9839.0,75.0,9908.0,14283.0,2147318194.0,107381602.0,21303339.0
2022,1,Georgia,6036.0,26312.0,4166.0,13.0,4221.0,7299.0,1113775643.0,79405705.0,13940148.0
2022,1,New York,13365.0,49743.0,7532.0,102.0,7605.0,16127.0,2684553792.0,125112507.0,17649929.0
2022,1,North Carolina,6176.0,28002.0,4686.0,20.0,4717.0,7512.0,1268903207.0,73815590.0,12399431.0
2022,1,Wyoming,260.0,1545.0,204.0,0.0,207.0,322.0,72735793.0,6209243.0,1222816.0
2022,2,California,8843.0,54266.0,7884.0,63.0,7918.0,12238.0,3354711609.0,250261726.0,35497052.0
2022,2,Florida,5625.0,40394.0,5730.0,50.0,5776.0,8140.0,1902107739.0,104113105.0,19992289.0
2022,2,Georgia,3070.0,17690.0,2119.0,9.0,2136.0,3792.0,985914437.0,74065305.0,12248996.0
2022,2,New York,3706.0,28575.0,3248.0,8.0,3256.0,5761.0,2333834407.0,113897035.0,16629547.0
2022,2,North Carolina,3438.0,19850.0,2917.0,16.0,2934.0,4748.0,1114540744.0,70115588.0,10750001.0
2022,2,Wyoming,222.0,1304.0,180.0,0.0,180.0,269.0,64486897.0,6163766.0,1174868.0
2022,3,California,2745.0,45012.0,4159.0,56.0,4185.0,5486.0,3711172268.0,286137261.0,41452259.0
2022,3,Florida,1783.0,35596.0,3305.0,65.0,3355.0,4346.0,2312103246.0,127467636.0,23789654.0
2022,3,Georgia,944.0,14730.0,1105.0,6.0,1115.0,1740.0,1109198128.0,85804649.0,14262075.0
2022,3,New York,1501.0,26740.0,2490.0,60.0,2531.0,3204.0,2734780245.0,128279331.0,18138819.0
2022,3,North Carolina,912.0,16152.0,1172.0,16.0,1186.0,1658.0,1253136241.0,79316961.0,12736009.0
2022,3,Wyoming,192.0,1023.0,142.0,0.0,142.0,210.0,68726459.0,6105478.0,1288523.0
2022,4,California,1641.0,43116.0,3884.0,63.0,3930.0,4889.0,3674814396.0,267072545.0,39495727.0
2022,4,Florida,1064.0,33730.0,2637.0,50.0,2868.0,3542.0,2311896438.0,126406565.0,23375178.0
2022,4,Georgia,423.0,14324.0,670.0,6.0,682.0,934.0,1149279147.0,86344593.0,14468705.0
2022,4,New York,1441.0,26233.0,2225.0,80.0,2291.0,3080.0,2606168100.0,122633231.0,17890820.0
2022,4,North Carolina,602.0,15738.0,1023.0,18.0,1146.0,1430.0,1252917946.0,78977775.0,13181345.0
2022,4,Wyoming,112.0,1112.0,132.0,0.0,132.0,202.0,69451723.0,5987409.0,1271332.0
2022,5,California,2082.0,54418.0,4542.0,103.0,4629.0,6306.0,3943634365.0,280193776.0,39052615.0
2022,5,Florida,1691.0,43054.0,3630.0,70.0,3702.0,4660.0,2361267141.0,128150295.0,23391408.0
2022,5,Georgia,847.0,17620.0,1081.0,12.0,1103.0,1457.0,1180591740.0,90421927.0,13994805.0
2022,5,New York,2861.0,33016.0,2719.0,96.0,2796.0,4649.0,2692182322.0,132149391.0,19778208.0
2022,5,North Carolina,1145.0,19558.0,1339.0,16.0,1357.0,1958.0,1265166349.0,83523477.0,13536562.0
2022,5,Wyoming,176.0,1385.0,143.0,0.0,143.0,218.0,71419930.0,6664671.0,1360360.0
2022,6,California,2589.0,44432.0,3481.0,107.0,3583.0,5332.0,3697399756.0,281605184.0,42316035.0
2022,6,Florida,2111.0,35528.0,2809.0,94.0,3288.0,4552.0,2155957543.0,124687363.0,23579904.0
2022,6,Georgia,574.0,14264.0,1026.0,7.0,1039.0,1531.0,1067935510.0,87658964.0,15280784.0
2022,6,New York,1628.0,24848.0,2110.0,44.0,2133.0,3260.0,2524630244.0,131302942.0,20521430.0
2022,6,North Carolina,887.0,16142.0,1277.0,12.0,1287.0,1758.0,1142162872.0,79785813.0,14438626.0
2022,6,Wyoming,144.0,1109.0,121.0,0.0,132.0,186.0,64757191.0,6240512.0,1403361.0
2022,7,California,4292.0,57118.0,5290.0,84.0,5347.0,8004.0,3788343774.0,293172720.0,45603518.0
2022,7,Florida,3967.0,44784.0,4450.0,65.0,4708.0,6849.0,2267579162.0,131384747.0,25332014.0
2022,7,Georgia,1274.0,18540.0,1256.0,7.0,1271.0,2224.0,1125700792.0,91380396.0,16171811.0
2022,7,New York,2394.0,30216.0,2518.0,52.0,2540.0,3730.0,2614433768.0,137940981.0,23313097.0
2022,7,North Carolina,1192.0,20004.0,1500.0,12.0,1512.0,2406.0,1191967413.0,83702286.0,15736132.0
2022,7,Wyoming,219.0,1340.0,143.0,0.0,143.0,225.0,67691875.0,6605978.0,1439879.0
2022,8,California,2957.0,44866.0,3922.0,42.0,3949.0,6078.0,3889897765.0,298737251.0,45531703.0
2022,8,Florida,2834.0,35868.0,3232.0,45.0,3268.0,5014.0,2348376096.0,137069075.0,25200985.0
2022,8,Georgia,1133.0,14774.0,1024.0,6.0,1112.0,1833.0,1137355740.0,93710580.0,15958372.0
2022,8,New York,2267.0,26276.0,2235.0,16.0,2251.0,3934.0,2650856624.0,140601290.0,23512783.0
2022,8,North Carolina,884.0,16210.0,1220.0,14.0,1327.0,1999.0,1199711873.0,86599921.0,15904546.0
2022,8,Wyoming,160.0,997.0,121.0,0.0,121.0,176.0,68292765.0,6489390.0,1408240.0
2022,9,California,2120.0,44936.0,3829.0,42.0,3862.0,5579.0,3885634137.0,291543651.0,42668693.0
2022,9,Florida,1992.0,35044.0,3204.0,50.0,3244.0,4470.0,2358178833.0,134504776.0,24036022.0
2022,9,Georgia,771.0,14960.0,926.0,4.0,932.0,1424.0,1136779657.0,90884678.0,15676427.0
2022,9,New York,1849.0,26370.0,2138.0,24.0,2153.0,3368.0,2658981161.0,137891559.0,22106930.0
2022,9,North Carolina,868.0,16602.0,1182.0,4.0,1186.0,1797.0,1213999420.0,84262350.0,15121175.0
