Year,Month,Jurisdiction,Covid_Deaths,Total_Deaths,Pneumonia_Deaths,Influenza_Deaths,Pneumonia_Influenza_Deaths,Pneumonia_Influenza_Covid
2020,2,South Dakota,0.0,1883.0,251.0,0.0,258.0,408.0
2020,2,Tennessee,0.0,11528.0,818.0,76.0,1072.0,1128.0
2020,2,Texas,356.0,33508.0,3162.0,333.0,3491.0,3825.0
2020,2,Utah,0.0,3640.0,224.0,0.0,274.0,334.0
2020,2,Vermont,0.0,1080.0,49.0,0.0,51.0,58.0
2020,2,Virginia,0.0,14263.0,1185.0,49.0,1373.0,1781.0
2020,2,Washington,147.0,9276.0,775.0,32.0,797.0,839.0
2020,2,West Virginia,0.0,5050.0,375.0,11.0,391.0,414.0
2020,2,Wisconsin,0.0,9022.0,511.0,71.0,611.0,647.0
2020,2,Wyoming,0.0,1019.0,123.0,0.0,123.0,186.0
2020,3,Alabama,288.0,11714.0,725.0,13.0,803.0,943.0
2020,3,Alaska,112.0,1205.0,150.0,0.0,151.0,229.0
2020,3,Arizona,738.0,12970.0,1156.0,36.0,1234.0,1517.0
2020,3,Arkansas,236.0,8224.0,548.0,21.0,612.0,684.0
2020,3,California,2078.0,56890.0,6405.0,423.0,7142.0,8084.0
2020,3,Colorado,621.0,9651.0,860.0,35.0,874.0,1008.0
2020,3,Connecticut,648.0,9683.0,677.0,0.0,712.0,1316.0
2020,3,Delaware,96.0,2862.0,275.0,0.0,287.0,399.0
2020,3,Florida,1283.0,43164.0,4400.0,199.0,4634.0,5143.0
2020,3,Georgia,1167.0,18266.0,1459.0,26.0,1610.0,2090.0
2020,3,Hawaii,45.0,3169.0,235.0,0.0,256.0,299.0
2020,3,Idaho,216.0,4215.0,320.0,0.0,343.0,462.0
2020,3,Illinois,1193.0,23954.0,2752.0,168.0,2950.0,3472.0
2020,3,Indiana,513.0,14218.0,1282.0,104.0,1484.0,1719.0
2020,3,Iowa,247.0,8144.0,636.0,99.0,753.0,919.0
2020,3,Kansas,434.0,6777.0,611.0,67.0,708.0,814.0
2020,3,Kentucky,434.0,10567.0,933.0,39.0,1024.0,1100.0
2020,3,Louisiana,1461.0,12084.0,1099.0,0.0,1160.0,2041.0
