Year,Month,State_Postal_Code,Local_Trips,Interstate_Trips,Long_Distance_Trips
2023,3,GA,1252096246.0,98484187.0,16253481.0
2023,3,NC,1344313091.0,93866185.0,14878255.0
2023,3,NY,2996418242.0,138196955.0,21024378.0
2023,3,WY,81166851.0,8072709.0,1533489.0
2023,4,CA,4155424547.0,298985062.0,45705410.0
2023,4,FL,2464686411.0,136461136.0,24634341.0
2023,4,GA,1232573665.0,96193924.0,17294757.0
2023,4,NC,1311467341.0,90575096.0,15424459.0
2023,4,NY,2895489957.0,134976454.0,20835143.0
2023,4,WY,81795431.0,8501245.0,1629221.0
2023,5,CA,4265645000.0,296150227.0,45292027.0
2023,5,FL,2493072276.0,136859655.0,24037029.0
2023,5,GA,1261148525.0,97394357.0,16781299.0
2023,5,NC,1356183136.0,95099647.0,14689214.0
2023,5,NY,3010003546.0,137761341.0,19458554.0
2023,5,WY,85768889.0,8815107.0,1644687.0
2023,6,CA,3996331824.0,287038484.0,48011110.0
2023,6,FL,2354405966.0,132946989.0,24451272.0
2023,6,GA,1189401125.0,91963179.0,16144931.0
2023,6,NC,1287394808.0,91244907.0,13977698.0
2023,6,NY,2843051037.0,134713506.0,19439156.0
2023,6,WY,82157455.0,8666259.0,1620574.0
2023,7,CA,4291366750.0,310122837.0,48994534.0
2023,7,FL,2453879229.0,135968501.0,25695539.0
2023,7,GA,1260309418.0,96166428.0,16464770.0
2023,7,NC,1341795261.0,96741634.0,15332390.0
2023,7,NY,2974887838.0,149502739.0,23689572.0
2023,7,WY,88907375.0,9905572.0,1826772.0
2023,8,CA,4266431283.0,301148127.0,48994023.0
2023,8,FL,2430430412.0,133588302.0,24513365.0
2023,8,GA,1255740441.0,97261751.0,17505423.0
2023,8,NC,1321930219.0,97222817.0,15374551.0
2023,8,NY,2948000539.0,142478944.0,19641198.0
2023,8,WY,92805730.0,9944604.0,1833279.0
2023,9,CA,4169290781.0,294141447.0,47878037.0
2023,9,FL,2480661200.0,134486890.0,25240271.0
